album,artist,lyrics,title
,MC Hammer,"I'm too sexy for my love,Too sexy for my love,Love, love's going to leave me,I'm too sexy for my shirt,Too sexy for my shirt,So sexy it hurts,And I'm too sexy for Mylan,Too sexy for Mylan, New York and Japan,And I'm too sexy for your body,Too sexy for you body,The way I'm disco dancing,I'm a model, you know what I mean,And I do my little turn on the catwalk,Yeah,On the catwalk, on the catwalk, yeah,And I do my little turn on the catwalk,I'm too sexy for my car,Too sexy for my car,Too sexy by far,And I'm too sexy for my hat,Too sexy for my hat,Whatcha think about that?,And I'm a model, you know what I mean,And I do my little turn on the catwalk,Yeah,on the catwalk, on the catwalk, yeah,I shake my little tush on the catwalk,(repeat),I'm too sexy for my cat,Too sexy for my cat,Poor pussy, poor pussy cat,And I'm too sexy for my love,Too sexy for my love,Love's going to leave me,And I'm too sexy for this song.
,
,
",MC Hammer:I'm Too Sexy
,MC Hammer,"Chorus (8x): (Q-tip),If you say Hammer Proper,(Hammer),We about to break em off somethin Proper,Once again it's on!,You nigga's tried to dis me,You missed me,Chill G, For real G,Man u nigga's kill me,Tryin to knock me off the top,Yo there's no contest G in the market,Ya'll hata's never ? me,As I deliver, hits too make em quiver,Make em shiver, Q-tip couldn't flow if he was a river,And me, I'm sellin milli like runnin the mill,And like Big Daddy Kane ""I Wonder How You Gotta Record Deal"",Well everyday too make hits, you ain't got it,Til this day you never ? never had it,For me I tend to kick it like a partner,And must I remind you I'm the funky headhunter,I understand u bout as man as Rupaul,I come on your block and move you out like a U-Haul,So step right up and be the next contestant,A Tribe Called Quest Is A Bad Investment,I'm breakin em off with somethin proper!,Chorus (4x),Like Hardaway boy I got skills,Like 7up you never had it never will,You talkin that mess punk,I see that Kriss Kross couldn't make U jump (now they don't want funk),Your wack album out be doin,they done bullshit u gotta go gotta go,So pick the time and the place if u ever wanna Warren G,Cause you could stay if u was Jodeci (Do u wanna Just Stay!),And get your sexual protection,Or I'ma have your head in that played out rapper's collection,(2 Bigg MC),Just like pennies rap Lights Out!,I Advise u keep his name out yo mouth,Cause you probably dis hammer fast son,Get out when u can or catch a bad one,(Hammer),You better believe that I'm droppin you,(2 Bigg MC),Right on yo ass!,(MC Hammer),We breakin em off wit somethin proper!,Chorus (6x),Like the rest you was tryin to get paid,These days you walkin around the Raid,Cause I'm known to blow em away like a hand grenade,(2 Bigg MC),We don't contest with them punks that ain't in our league,And with the slangity bees,(MC Hammer),Fool please!,I'm a high speed B-boy nuff said,The funky headhunter so I can't get enough head!,(2 Bigg MC),Dis me I'll sit your ass in the tortuary,I'm makin your home a mortuary,(MC Hammer),I'm so hyped to make you seat like a sedative,You didn't sign to another crew had to be a relative,(Suge Knight),You all about as real as yo gel fro,For you we had know use ,So we gone execute you like Death Row,(MC Hammer),So don't misunderstand,I was a Menace 2 Society,When ya'll were Little Boys In Da Hood,(Suge),I rearranged your effects like the doctor,(MC Hammer),When you bust my badge,You better fell the raft,We breakin em off with somethin proper!,I'm sendin this to all my women!,All them girls that gotta say Daddy Hammer's name ,when they in the studio,Redman!  ,You punk you trick I like the way u say Daddy Hammer's name ,I like it!  I like it!  I like it!  You punk tricks!,(Suge Knight),Man you know you wanna cus them fools out!,(Suge and 2 Bigg MC),Redman, Gonna put em on the hoe stroll!,Dres, gonna put em on the hoe stroll!,Q-tip, gonna put em on the hoe stroll!,Rodney O, already on the hoe stroll!,Search couldn't sell on the hoe stroll!,(2 Bigg MC),Man what about Run D. M. C.,Too Old For the hoe stroll!
,
,
",MC Hammer:Break 'Em Off Somethin' Proper
,,,
,,,
,MC Hammer,"[Daz],Dah Dah Dah,[Chorus 2x; Hammer [And Daz]],Sleepin on a master plan,[Daz; Sleepin on a master plan],When ya sleepin, Yet I'm creepin, Ya see,[Daz; When ya sleepin, I be creepin],[Daz],Check it out,[Hammer],Sleepin on a master plan, but yet and still,I got skills to come hard like shaquille,Check the grammar, Slow your roll, Here comes the quick flows,Hammer too legit flows, They need us from the get go,Uh, back in action,Time for some rhymes, For some ends so my pockets'll be fattened,Matter of fact, In a couple minutes i'll be paid again,Another phat lp to be made again,Hammer, Hammer, I am!,Hype like mike, So you can say I'm the,[Daz],Jam!,[Hammer],Smooth as satin concrete as stone,Take my time to rock a rhyme, Once again it's on,Take two, One two three different mc's,They really can't see me,[Daz],Who?,[Hammer],You can't touch this, So rush this oh slow temp flow,MC Hammer, Untouchable mental flow,Chorus 4x,[Hammer],I'm too legit to stop, I got more flows to kick,[Kurupt],I kicks it, I gets wicked like that and this,[Hammer],It's so many things that's confusing,Ya diss, Ya losin, Ya don't know the different flows I be using,[Daz],So uh,[Hammer],Remember, Timber is filmed down,It's time to let em know hammer's comin back around,So knock knock to the boogie ya don't stop,I got a couple more lines to drop,On the one,[Daz],Too many underestimated,[Hammer],On the two,[Daz],They can't believe what I created,[Hammer],Am I smooth?,[Daz],I don't think so,[Hammer],And that's too real,[Kurupt],Can ya feel it?,[Hammer],I drop hits like holyfield,[Daz],Damn,[Hammer],Take my time before I start composing,It's like this, It's like this is how it goes and,Now ya know whenever ya seein the hammer rollin,Bet he roll, Hold I roll rollin through oakland, Oakland,Chorus 4x,[Daz],Now,[Hammer],I done seen a lotta people go from one to ten,[Daz],Really dough,[Hammer],Hammer'll wreck it from beginning to end,Comin direct, Check yourself or get checked,Step, I kicks back and I collect,I recollect, That my technique is tight,It's unknown what the average mc might write,I'm ice colder, So diss at me, You're going under,Believe me, Ya man ain't stevie so don't wonder,I hammer mc's for tryin to go against this,Me against no six, Or face the consequence,For tryin to get in my position,[Daz],For all those who're essential, so,[Hammer],To all y'all backwards untalented unactive wanna be hard rap stars,[Daz],Now is this too much?,The fact that they can't touch this,[Hammer],I'm unmatched, Never mediocre,Tell batman hammer's loonier than joker,Uh, So quick to jump up,That macker fama lama hammer grammar'll have things pumped up,Fool, I thought you knew,[Daz],What else would you expect from a g that's kickin game to you?,[Hammer],It's like one two, I'm pretty sure you can't tell it's dope,You try to diss but couldn't see me wit a telescope,Chorus 5x,[Hammer-Repeat 4x],Sleep wit it, Sleep wit it,[Daz-Repeat until fade],Keep sleepin on a master plan
,
,
",MC Hammer:Sleepin' On A Master Plan
,,,
,,,
,,,
,,,
,,,
