album,artist,lyrics,title
,,,
,Queen Latifah,"Set it off with those i respect for the law of crime set it off with crazy and insain to love and sex are dreams about love touching the dream that we met our life as death means that you can be involved with a police it means i am nuts and crazy with or without my lover and my life become a dream of set it off makes a world go around my life has to change that our dreams will come true set it off is about love and sex cime and law insain and crazy to be involved with other people around me or around the court of law my set it off.
,
,
",Queen Latifah:Set It Off
,Queen Latifah,"Oh, I don't know,And it makes me scared,Because I'm falling in love,And I don't know if you feel the same,I'm taking this time to write you this letter,'Cause what we got is good but want to make it better, yo boo,I'm digging you, you got all of the equipment,Now I'm ready for a commitment,I'm not trying to rush things not looking for an engagement ring,But the queen needs a king,And I choose you, 'cause what we got is in tune,Since you promised me the moon I hope to see it soon,I want make this official man, I miss you,I feel for your touch and your kiss too,Listen I hope I'm not being to blunt,Don't wanna scare you away, it's a game I want to play but,Oh, I don't know,And it makes me scared,Because I'm falling in love,And I don't know if you feel the same,Oh, I don't know,(I don't know),And it makes me scared,(So scared),Because I'm falling in love,(Falling in love),And I don't know if you feel the same,(Falling in love, hey),I know you love it when I call you big poppa my thoughts are pure,I heard you left your last 'cause she was insecure,I'm not trying to compare myself but I got health and wealth,And now you dealing with the top shelf,My orgasmic thoughts need support,Thinking of positions you taught while I stare at the gifts you bought,The things you do for me make you my number one,When you're around I have a lot of fun check me now,Like the time we went to six flags boosting, tearing off tags,And sticking souvenirs into our bags,Slipped up, almost got caught then tried again,You're more than a lover your my best friend,Do you remember the first time I letcha get it,I was nervous you were too but wouldn't admit it,You were the best I had that's why I want all of you,Now tell them hookers to stop calling you,I'm dead up I want to wear your name,So I pray and ask God to make you feel the same,Oh, I don't know,(Don't know),And it makes me scared,(It makes me so scared),Because I'm falling in love,(I'm falling in love again, again),And I don't know if you feel the same,(Baby baby baby baby),Oh, I don't know,(I don't know),And it makes me scared,(I'm makes me scared),Because I'm falling in love,(I'm falling in love again),And I don't know if you feel the same,(Oh yeah),Is there a place to ease my mind,(Place to ease my mind),Think about you all the time, yeah,Show me a sign and wish that you would,Offer me a sign, relax my mind,Let me close by saying stop delaying our fate,Let go your fear I'm here come hold your soul make,I want more but I don't want push,It's never to late so be straight don't beat around the bush,I'm all woman if you don't feel like I feel that's fine,Let's stay friends but I want you to be mine now check it,But I'll take what I can take it can't get no plainer,With love sincerely yours your boo Dana,Oh P.S. guess who's back around,My ex he called me said he bought a house up town,But I told him that my love for you was too strong,Write back and don't make me wait to long,Oh, I don't know,(I don't know),And it makes me scared,(Makes me so scared),Because I'm falling in love,(I'm falling in love),And I don't know if you feel the same,(I want to know, I wanna know),Oh, I don't know,(I don't know),And it makes me scared,(I'm so scared),Because I'm falling in love,(I'm falling in love),And I don't know if you feel the same,(Just me and my queen do you know what I mean),Oh, I don't know,(Hey, hey),And it makes me scared,(Hey, hey),Because I'm falling in love,(Falling in love),And I don't know if you feel the same,(Tell me if it's good enough for you),Oh, I don't know,And it makes me scared,(I'm falling for you),Because I'm falling in love,And I don't know if you feel the same,(I wanna know if you feel the same, yes I do)
,
,
",Queen Latifah:I Don't Know
,,,
,,,
TravLin' Light (2007),Queen Latifah,"Oh, he ain't gettin' off the hook this time, baby,I want a little sugar in my bowl,I want a little sweetness down in my soul,I could stand some lovin', oh so bad,I feel so funny, I feel so sad,I want a little steam on my clothes,Maybe I can fix things up, so they'll go,What's the matter daddy, come on, save my soul,I need some sugar in my bowl, I ain't foolin',I want some sugar in my bowl,You've been actin' different,I've been told, yeah Sue me, I want some sugar in my bowl,I want some steam, some hot steam on my clothes,Maybe I can fix things up, so they'll go,What's the matter daddy, come on, save my soul, yeah,I want some sugar in my bowl, I ain't foolin',I need some, some sugar in my bowl,I ain't [Incomprehensible]
,
,
",Queen Latifah:Sugar In My Bowl
,Queen Latifah,"(Chorus) ,When i'm sexing u when i'm next 2 u i know it's alright , it's the things u do make me cling to u cause i know it's alright . ,1-Theirs a special way that u do what u do anywhere and anytime your not an ordinary lover u give me sometimes keep me so satisfied ,Chorus ,I'm over whelemed by the way that u handle cause i been down for a little while i've got experience to know when it's this good everything everything is alright ,Chorus ,When your here i dont' fear i feel so safe and secure u feel good in my arms and i know , your the one ,Chorus ,How do I know your never go , you've got to be the one for me i always pray that u will stay so baby , don't u go ,How do I know your never go , you've got to be the one for me i always pray that u will stay so baby dont' u go ,Chorus
,
,
",Queen Latifah:It's Alright
,Queen Latifah,"There's a somebody I'm longing to see,I hope that she turns out to be,Someone who'll watch over me,I'm a little lamb who's lost in a wood,I know I could always be good,To one who'll watch over me,Although I may not be the man,Some girls think of as handsome,But to her heart,I carry the key,Won't you tell her please to put on some speed,Follow my lead, oh how I need,Someone to watch over me,I'm a little lamb who's lost in a wood,I know I could always be good,To one who'll watch over me,Although I may not be the man,Some girls think of as handsome,But to her heart,I carry the key,And this world would be like heaven, if she'd,Follow my lead, oh how I need,Someone to watch over me,Someone to watch over me
,
,
",Queen Latifah:Someone To Watch Over Me
,Queen Latifah,"Let me remind you on how to unwind your body ,So dance and shake and just keep in step ,Understand draw a clear picture ,What I'm gonna hit you with is truly def ,These are the words of a Queen of a Queendom ,All competitors I simply cream them ,One by one I dust a rush them all ,If you have any more bring them ,To the front so they can sho me what they got ,What they got it better be hot ,Cause if it's not, I'll simply knock them out the box ,And they'll be put in a spot ,The style I use will surely amuse ,The party people to a state of gladness ,What I mean is I'm on the scene ,I'm the Queen of Royal Badness ,Well it's the Lah, T-I-F-A-H ,While I say my rhyme, Mark creates ,The direct hi-tech sound of the dope noise ,The bass will pound, I hope girls, I hope boys ,Understand what I'm quoting, I'm not joking ,Or freaking, this is a Queen speaking ,Wis words, when I'm done I leave your eyes blurred ,When you address me, address me as ""Your Highness"" ,One of hip-hop's finest ,You see, I can flow on tempo, off tempo ,It makes me no difference ,So play that beat, play it, kick it, watch me ,Flip it, with dope lyrics, you want to hear it? ,Observe my ways and actions, I grab the mic ,And draw attractions ,To the table, I'm a hit you at all angles ,Those who think I caught a fit, I strangled them ,The result with a pen and a pad ,Gets mean, see I'm the Queen of Royal Badness ,I can't wait until the party is jam-packed ,When I start to drop it, the people say ""Damn, black"" ,The queen is hyped up, awesome and deadly ,If you don't dance, grab a chair and plex, B ,Composure's kept, blows are thrown in death, hard as hell ,Guard as well as you can or step ,Off the premisis, in one minute it's ,Going to explode in a style that's limitless ,Make your first move, don't let it be your worst move ,Cause if you do, you'll be a hurt fool ,Keep your mouth shut to those that shout and cuss ,It's no doubt that I got clout and I'll bust ,Literature that flows like liquid ,Some can't comprehend the way I kicked it ,So don't say nothing ,Just listen up, follow instructions ,Rhyme, shake, slide, and dance like Lat said ,When I'm on stage I sold rage and drop heads ,Ambidextrous, skilled with both hands ,Teaching a lesson, ready to throw jams ,Latifah loves to rip up the scenery ,It's nothing special, just a Queen to me ,So do the knowledge, see if you can catch this ,You know what I mean, it's the Queen of Royal Badness
,
,
",Queen Latifah:Queen Of A Royal Badness
The Dana Owens Album (2004),Queen Latifah,"[Bill Withers' hit from 1974],Your love is like a a chunk of gold,Hard to gain, and hard to hold,Like a rose that's soft to touch,Love has gone, and it hurts so much,Well and why...,Must the same love that made me laugh,Make me cry?,Well now you think of love as sitting on a mountain,Think of it as being a great big rock,Won't you think before you started to roll it down,Because once you start it, you can't make it stop,I've given all I have to give,And if you don't want me,I don't want to live,Well and why...,Must the same love that made me laugh:,Why you wanna make me cry? [5x],Why you wanna make me lay in my pillow,Just cryin' like a weeping willow,Why you wanna make me cry? [4x],Why you wanna make me mess in my pillow,I'm just cryin' like a weeping willow,Why you wanna make me cry? [3x]
,
,
",Queen Latifah:Same Love
,Queen Latifah,"*ringing*,Girl: Hello?,Girl's man: Hey, what's good?,Girl: Yo, baby, what's the deal?,Girl's man: Nothing, i'm just calling about this Queen Latifah shit,Girl: Yeah, i like this shit,Girl's man: I like this shit too,Girl: Yeah, i can feel you,Girl's man: Yeah, feel me,Girl: Listen, can we see today?,Girl's man: Yes, i want to see you,Girl: What time?,Girl's man: At 8:30 P.M.,Girl: OK,Girl's man: OK, at 8.30 P.M. then,Girl: OK,Girl's man: Bye, baby,Girl: Bye, baby,*girl hangs up*,*girl's man hangs up*
,
,
",Queen Latifah:Phone Call Skit
